Angle,Steps
0.45,2
0.47,2
0.48,2
0.47,2
0.47,2
0.48,2
0.45,2
0.46,2
0.47,2
0.51,2
0.53,2
0.58,2
0.61,2
0.65,2
0.69,2
0.73,2
0.78,2
0.83,2
0.88,2
0.93,2
1.0,2
1.08,2
1.13,2
1.17,2
1.2,2
1.25,2
1.28,2
1.29,2
1.28,2
1.29,2
1.28,2
1.28,2
1.28,2
1.29,2
1.33,2
1.32,2
1.32,2
1.31,2
1.32,2
1.32,2
1.32,2
1.35,2
1.38,2
1.39,2
1.44,2
1.48,2
1.54,2
1.61,2
1.7,2
1.74,2
1.8,2
1.84,2
1.88,2
1.89,2
1.89,2
1.91,2
1.91,2
1.9,2
1.9,2
1.91,2
1.94,2
1.94,2
1.93,2
1.92,2
1.9,2
1.92,2
1.97,2
1.99,2
2.0,2
2.05,2
2.09,2
2.16,2
2.23,2
2.31,2
2.37,2
2.42,2
2.46,2
2.48,2
2.48,2
2.47,2
2.47,2
2.48,2
2.47,2
2.45,2
2.47,2
2.45,2
2.44,2
2.43,2
2.43,2
2.46,2
2.46,2
2.46,2
2.48,2
2.51,2
2.56,2
2.62,2
2.68,2
2.75,2
2.8,2
2.84,2
2.91,2
2.94,2
2.98,2
2.98,2
2.96,2
2.95,2
2.93,2
2.92,2
2.91,2
2.89,2
2.92,2
2.96,2
3.0,2
3.01,2
3.03,2
3.07,2
3.1,2
3.17,2
3.22,2
3.23,2
3.25,2
3.27,2
3.3,2
3.31,2
3.32,2
3.3,2
3.28,2
3.24,2
3.2,2
3.15,2
3.17,2
3.2,2
4.4,2
3.71,2
3.15,2
4.28,2
3.39,2
2.94,2
1.36,2
-0.28,2
-0.3,2
0.02,2
0.14,2
0.32,2
0.55,2
0.4,2
0.31,2
0.14,2
0.07,2
0.01,2
0.16,2
0.53,2
0.99,2
1.26,2
1.6,2
1.92,2
2.09,2
2.28,2
2.31,2
2.23,2
2.13,2
2.17,2
2.18,2
1.98,2
1.86,2
1.85,2
1.9,2
1.88,2
1.86,2
1.86,2
1.95,2
2.06,2
2.13,2
2.19,2
2.23,2
2.43,2
2.63,2
2.63,2
2.65,2
2.72,2
2.86,2
2.94,2
3.07,2
3.21,2
3.4,2
3.71,2
3.89,2
4.03,2
4.26,2
4.61,2
4.95,2
5.28,2
5.67,2
6.11,2
6.53,2
6.84,2
7.14,2
7.49,2
7.9,2
8.23,2
8.56,2
8.78,2
9.17,2
9.49,2
9.77,2
10.01,2
10.2,2
10.45,2
10.67,2
10.89,2
11.1,2
11.34,2
11.54,2
11.68,2
11.79,2
11.91,2
12.01,2
12.07,2
12.12,2
12.17,2
12.26,2
12.33,2
12.31,2
12.28,2
12.28,2
12.32,2
12.32,2
12.28,2
12.25,2
12.25,2
12.23,2
12.14,2
12.03,2
11.99,2
11.94,2
11.87,2
11.82,2
11.75,2
11.72,2
11.68,2
11.57,2
11.45,2
11.4,2
11.35,2
11.27,2
11.2,2
11.16,2
11.14,2
11.06,2
10.93,2
10.77,2
10.71,2
10.64,2
10.52,2
10.4,2
10.3,2
10.22,2
10.12,2
9.98,2
9.8,2
9.68,2
9.55,2
9.39,2
9.22,2
9.08,2
8.99,2
8.87,2
8.7,2
8.54,2
8.42,2
8.37,2
8.29,2
8.19,2
8.1,2
8.09,2
8.05,2
7.99,2
7.94,2
7.93,2
7.96,2
7.94,2
7.89,2
7.87,2
7.88,2
7.85,2
7.73,2
7.61,2
7.51,2
7.4,2
7.24,2
7.05,2
6.88,2
6.73,2
6.54,2
6.31,2
6.04,2
5.83,2
5.62,2
5.42,2
5.19,2
5.0,2
4.86,2
4.71,2
4.52,2
4.33,2
4.17,2
4.06,2
3.92,2
3.78,2
3.66,2
3.57,2
3.5,2
3.38,2
3.26,2
3.17,2
3.12,2
3.05,2
2.94,2
2.86,2
2.82,2
2.76,2
2.65,2
2.47,2
2.3,2
2.15,2
1.98,2
1.8,2
1.65,2
1.52,2
1.39,2
1.2,2
1.03,2
0.89,2
0.81,2
0.68,2
0.54,2
0.41,2
0.35,2
0.32,2
0.26,2
0.19,2
0.2,2
0.24,2
0.3,2
0.32,2
0.38,2
0.5,2
0.65,2
0.75,2
0.84,2
0.99,2
1.15,2
1.27,2
1.39,2
1.5,2
1.66,2
1.79,2
1.86,2
1.9,2
1.98,2
2.04,2
2.08,2
2.07,2
2.06,2
2.09,2
2.11,2
2.1,2
2.06,2
2.02,2
1.99,2
1.94,2
1.89,2
1.86,2
1.89,2
1.92,2
1.92,2
1.91,2
1.9,2
1.91,2
1.92,2
1.91,2
1.9,2
1.93,2
2.0,2
2.04,2
2.06,2
2.11,2
2.18,2
2.22,2
2.24,2
2.26,2
2.33,2
2.43,2
2.5,2
2.56,2
2.65,2
2.76,2
2.88,2
2.95,2
3.03,2
3.12,2
3.21,2
3.26,2
3.28,2
3.29,2
3.35,2
3.34,2
3.29,2
3.2,2
3.12,2
3.06,2
2.95,2
2.83,2
2.7,2
2.62,2
2.54,2
2.48,2
2.39,2
2.36,2
2.31,2
2.31,2
2.27,2
2.26,2
2.28,2
2.32,2
2.3,2
2.25,2
2.19,2
2.18,2
2.08,2
1.98,2
1.89,2
1.84,2
1.77,2
1.71,2
1.62,2
1.57,2
1.49,2
1.41,2
1.28,2
1.18,2
1.05,2
0.94,2
0.79,2
0.68,2
0.58,2
0.52,2
0.4,2
0.3,2
0.19,2
0.14,2
0.08,2
0.03,2
-0.06,2
-0.06,2
-0.08,2
-0.06,2
-0.05,2
-0.05,2
-0.06,2
-0.04,2
-0.03,2
-0.01,2
0.04,2
0.09,2
0.08,2
0.06,2
0.03,2
-0.01,2
0.0,2
-0.04,2
-0.04,2
-0.12,2
-0.17,2
-0.22,2
-0.3,2
-0.41,2
-0.48,2
-0.61,2
-0.73,2
-0.91,2
-1.06,2
-1.2,2
-1.32,2
-1.49,2
-1.63,2
-1.77,2
-1.84,2
-1.96,2
-2.02,2
-2.12,2
-2.11,2
-2.17,2
-2.19,2
-2.26,2
-2.21,2
-2.14,2
-2.09,2
-2.07,2
-2.02,2
-1.94,2
-1.82,2
-1.75,2
-1.65,2
-1.59,2
-1.46,2
-1.4,2
-1.27,2
-1.23,2
-1.14,2
-1.14,2
-1.1,2
-1.12,2
-1.1,2
-1.08,2
-1.04,2
-1.02,2
-0.78,2
-0.34,2
1.12,2
3.45,2
7.06,2
10.21,2
7.04,2
6.39,2
4.64,2
5.08,2
5.11,2
4.79,2
4.39,2
3.7,2
3.01,2
2.43,2
2.1,2
1.85,2
1.73,2
1.48,2
0.99,2
0.53,2
0.2,2
0.13,2
0.09,2
-0.08,2
-0.11,2
-0.12,2
0.11,2
0.14,2
0.22,2
0.36,2
0.65,2
1.06,2
1.61,2
2.01,2
1.69,2
2.39,2
3.18,2
3.71,2
4.2,2
4.42,2
4.47,2
4.27,2
4.06,2
3.83,2
3.67,2
3.64,2
3.62,2
3.63,2
3.57,2
3.48,2
3.27,2
2.74,2
2.37,2
2.38,2
2.33,2
2.2,2
1.88,2
1.53,2
1.23,2
1.09,2
0.33,2
0.4,2
0.22,2
0.06,2
-0.2,2
-0.4,2
-0.51,2
-0.76,2
-0.99,2
-1.14,2
-1.29,2
-1.44,2
-1.52,2
-1.56,2
-1.52,2
-2.36,2
-1.95,2
-1.72,2
-0.74,2
-0.38,2
-0.03,2
0.37,2
0.64,2
0.85,2
0.7,2
0.43,2
0.38,2
0.34,2
0.48,2
0.54,2
0.53,2
0.48,2
0.38,2
0.34,2
0.31,2
0.25,2
0.18,2
0.12,2
0.09,2
0.04,2
-0.02,2
-0.08,2
-0.15,2
-0.21,2
-0.25,2
-0.27,2
-0.33,2
-0.35,2
-0.36,2
-0.36,2
-0.36,2
-0.28,2
-0.26,2
-0.26,2
-0.29,2
-0.4,2
-0.44,2
-0.5,2
-0.57,2
-0.67,2
-0.72,2
-0.81,2
-0.81,2
-0.92,2
-0.96,2
-1.08,2
-1.16,2
-1.2,2
-1.24,2
-1.27,2
-1.29,2
-1.29,2
-1.31,2
-1.41,2
-1.4,2
-1.42,2
-1.44,2
-1.52,2
-1.55,2
-1.58,2
-1.62,2
-1.68,2
-1.72,2
-1.77,2
-1.79,2
-1.83,2
-1.85,2
-1.91,2
-1.93,2
-1.96,2
-2.0,2
-2.08,2
-2.13,2
-2.24,2
-2.31,2
-2.39,2
-2.47,2
-2.54,2
-2.56,2
-2.59,2
-2.61,2
-2.64,2
-2.64,2
-2.68,2
-2.7,2
-2.8,2
-2.89,2
-3.02,2
-3.09,2
-3.15,2
-3.19,2
-3.24,2
-3.27,2
-3.33,2
-3.39,2
-3.44,2
-3.51,2
-3.58,2
-3.61,2
-3.63,2
-3.63,2
-3.63,2
-3.58,2
-3.51,2
-3.38,2
-3.25,2
-3.15,2
-3.06,2
-2.98,2
-2.93,2
-2.93,2
-3.09,2
-3.22,2
-3.51,2
-3.92,2
-4.6,2
-5.38,2
-6.24,2
-7.16,2
-8.1,2
-9.03,2
-9.97,2
-10.7,2
-11.64,2
-12.71,2
-13.98,2
-14.93,2
-15.9,3
-17.28,3
-18.15,3
-18.66,3
-19.28,3
-20.07,3
-20.91,3
-21.78,3
-22.6,3
-23.37,3
-24.02,3
-24.62,3
-25.25,3
-25.86,3
-26.46,3
-26.95,3
-27.4,3
-27.78,3
-28.26,3
-28.68,3
-29.08,3
-29.39,3
-29.69,3
-30.0,3
-30.28,3
-30.51,3
-30.65,3
-30.68,3
-30.64,3
-30.74,3
-30.76,3
-30.79,3
-30.69,3
-30.52,3
-30.41,3
-30.26,3
-30.25,3
-30.12,3
-29.92,3
-29.68,3
-29.41,3
-29.08,3
-28.75,3
-28.52,3
-28.22,3
-27.99,3
-27.66,3
-27.32,3
-26.97,3
-26.59,3
-26.19,3
-25.75,3
-25.29,3
-24.86,3
-24.5,3
-24.17,3
-23.81,3
-23.43,3
-23.03,3
-22.67,3
-22.27,3
-21.86,3
-21.48,3
-21.09,3
-20.79,3
-20.42,3
-20.02,3
-19.61,3
-19.21,3
-18.87,3
-18.54,3
-18.24,3
-17.9,3
-17.58,3
-17.3,3
-17.03,3
-16.83,3
-16.57,3
-16.34,3
-16.07,3
-15.8,3
-15.53,3
-15.27,3
-15.04,3
-14.81,3
-14.64,3
-14.42,3
-14.28,3
-14.15,3
-14.04,3
-13.93,3
-13.88,3
-13.77,3
-13.67,3
-13.56,3
-13.44,3
-13.31,3
-13.19,3
-13.12,3
-13.03,3
-12.94,3
-12.8,3
-12.7,3
-12.57,3
-12.41,3
-12.28,3
-12.09,3
-11.91,3
-11.71,3
-11.53,3
-11.37,3
-11.22,3
-11.1,3
-10.97,3
-10.86,3
-10.7,3
-10.6,3
-10.49,3
-10.39,3
-10.35,3
-10.29,3
-10.22,3
-10.17,3
-10.13,3
-10.06,3
-9.98,3
-9.92,3
-9.82,3
-9.72,3
-9.57,3
-9.4,3
-9.23,3
-9.01,3
-8.79,3
-8.58,3
-8.36,3
-8.16,3
-7.98,3
-7.8,3
-7.62,3
-7.45,3
-7.36,3
-7.25,3
-7.15,3
-7.03,3
-6.86,3
-6.75,3
-6.62,3
-6.52,3
-6.42,3
-6.32,3
-6.23,3
-6.13,3
-6.0,3
-5.89,3
-5.77,3
-5.69,3
-5.59,3
-5.53,3
-5.49,3
-5.46,3
-5.47,3
-5.48,3
-5.45,3
-5.43,3
-5.38,3
-5.35,3
-5.32,3
-5.28,3
-5.26,3
-5.24,3
-5.26,3
-5.35,3
-5.44,3
-5.52,3
-5.58,3
-5.65,3
-5.73,3
-5.85,3
-5.97,3
-6.16,3
-6.38,3
-6.64,3
-6.91,3
-7.18,3
-7.47,3
-7.68,3
-7.78,3
-7.72,3
-7.69,3
-7.65,3
-7.67,3
-7.71,3
-7.72,3
-7.73,3
-7.67,3
-7.54,3
-7.4,3
-7.27,3
-7.13,3
-7.01,3
-6.86,3
-6.71,3
-6.59,3
-6.57,3
-6.63,3
-6.75,3
-6.87,3
-6.96,3
-7.06,3
-7.17,3
-7.3,3
-7.39,3
-7.45,3
-7.43,3
-7.36,3
-7.29,3
-7.17,3
-7.06,3
-6.9,3
-6.72,3
-6.52,3
-6.27,3
-5.98,3
-5.69,3
-5.35,3
-4.95,3
-4.56,3
-4.21,3
-3.88,3
-3.57,3
-3.44,3
-3.59,3
-3.76,3
-3.97,3
-4.18,3
-4.41,3
-4.67,3
-4.98,3
-5.4,3
-5.84,3
-6.37,3
-7.08,3
-8.37,3
-8.87,3
-9.12,3
-9.1,3
-9.07,3
-9.01,3
-8.92,3
-8.8,3
-8.75,3
-8.61,3
-8.44,3
-8.25,3
-8.02,3
-7.76,3
-7.44,3
-7.12,3
-6.76,3
-6.44,3
-6.14,3
-6.02,3
-6.11,3
-6.26,3
-6.44,3
